id,name,composer,effector,date,lv,lv_number,radar,s_tier,bpm,search_name,nickname
180551,Prayer,溝口ゆうま feat. 大瀬良あい,,2023-07-20,MXM,18,,8,,,
180552,うぇるかむ -||祭みっくす||-,忠兵衛,,2023-07-27,MXM,18,,2,,うぇるかむ   さいみっくす,웰컴리믹스
180553,APØCALYPSE RAY,xi,,2023-08-09,EXH,18,,5,,,아포칼립스레이 / 아포레이 / apocalypseray
180554,忘れないように、失くさないように,Mono.,,2023-08-09,MXM,18,TRICKY,1,170 (150-208),わすれないように　なくさないように,
180555,Marielle,ゆんゆん,,2023-08-09,MXM,18,,8,,,
180556,ΣMERGENCY CODΣ,概念,,2023-08-09,MXM,18,,8,,,이머전시코드
180557,BLISS,ミハイル + K.key,,2023-08-09,MXM,18,,4,,,
180558,パーフェクトイーター,"BEMANI Sound Team ""PON"" feat.かなたん",,2023-08-09,MXM,18,,4,,ぱーふぇくといーたー,퍼펙트이터
180559,累乗のカルマ,めと（Metomate）,,2023-08-09,MXM,18,,7,,るいじょうのかるま,누승의카르마
180560,stellar rain,"BEMANI Sound Team ""PHQUASE""",,2023-08-17,MXM,18,,5,,,
180561,THE PEERLESS UNDER HEAVEN,"Yuta Imai Vs. BEMANI Sound Team ""L.E.D.-G""",,2023-08-17,MXM,18,,5,170,,
180562,suspicions,"BEMANI Sound Team ""猫叉Master VS dj TAKA""",,2023-08-17,MXM,18,,1,,,
180563,Voice 7 Voice!!!!!!!,かめりあ feat. ななひら,,2023-08-31,MXM,18,,2,,,보나보
180564,ませまてぃっく♡ま＋ま＝まじっく！ ～徹夜の追込みエナジーまっくす！～,KAH feat.こにゃばた,,2023-08-31,MXM,18,,10,,てつやのおいこみえなじーまっくす,
180565,KAMAITACHI,DJ TECHNORCH fw. GUHROOVY,,2023-09-07,MXM,18,,6,,,
180566,Amazing Mirage,lapix,,2023-09-07,MXM,18,,7,,,어메이징미라주 / 어메이징미라지
180567,Please Welcome Mr.C,C-Show,,2023-09-07,MXM,18,,5,,,
180568,HeaveИ's Rain,モリモリあつし,,2023-09-14,EXH,18,,6,,,
180569,Enter The Rave,Tatsunoshin,,2023-09-14,MXM,18,,4,,,
180570,SHARK IMPACT,ryhki,,2023-09-14,MXM,18,,7,,,
180571,十三不塔,隣の卓は役満(庭師+Aoi),,2023-09-14,MXM,18,,6,,じゅうさんふとう,
180572,リュミレイラ,後藤 feat. nayuta,,2023-09-14,MXM,18,,7,,りゅみれいら,류미레이라
180573,Stylus,"BEMANI Sound Team ""HuΣeR""",,2023-09-20,MXM,18,,5,,,
180574,KINGWORLD,白上フブキ,,2023-10-05,MXM,18,,9,,,
180575,ドリームエンド・サバイバー (Hidra-Xjeil Remix),Hidra-Xjeil,,2023-10-26,MXM,18,,8,,どりーむえんど　さばいばー,드림엔드서바이벌 리믹스
180576,Sayonara Planet Wars(Sot-C  Remix),Sot-C,,2023-10-26,MXM,18,,3,,,
180577,Λkasha,BlackY feat. Risa Yuzuki,,2023-12-07,EXH,18,,3,,,아카샤
180578,TOKAKU=ALMiRAJ,MYUKKE.,,2023-12-07,MXM,18,,3,,,
180579,レインボウ・フレーバー,みーに feat. 杠葉えりか,,2023-12-07,MXM,18,,7,,れいんぼう　ふれーばー,레인보우플레이버
180580,=∴NOMADE∵OTION=,qfeileadh + yuichi NAGAO,,2023-12-07,MXM,18,,2,,,아노마디보션 / 노매디보션 / anomadevotion
180581,随神,影虎。,,2023-12-07,MXM,18,,3,,かんながら,신의뜻대로
180582,ちくわパフェだよ☆ＣＫＰ (Yvya Remix),"Remixed by BEMANI Sound Team  ""Yvya""",,2023-12-21,MXM,18,,4,,ちくわぱふぃだよ,치쿠와리믹스 / 치쿠와 유우야리믹스
180583,めうめうぺったんたん！！ (ZAQUVA Remix),"Remixed by BEMANI Sound Team ""ZAQUVA""",,2023-12-21,MXM,18,,5,,-,메우메우 자쿠바리믹스
180584,アンチグラビティ・ガール,月ノ美兎,,2024-01-25,MXM,18,,3,,あんちぐらびてぃ　がーる,반중력소녀 / 안티그래비티걸
180585,We Are All The Dreamer,Hommarju ft. かぼちゃ,,2024-02-01,MXM,18,,8,,,
180586,Double or Nothing,Tatsunoshin,,2024-02-01,MXM,18,,4,,,
180587,トリコエリヌム▽コンチェルト,qfeileadh,,2024-02-08,MXM,18,,2,,とりこえりぬむ　こんちぇると,토에코에리늄콘체르토
180588,群青纏う朱の槍,めと（Metomate）,,2024-02-08,MXM,18,,4,,ぐんじょうまとうあけのやり,
180589,CHOVERY GOOSE!!!,MYUKKE.,,2024-02-08,MXM,18,,4,,,쵸버리구스 / 초버리구스
180590,V!LLA!N,Kaname,,2024-02-15,MXM,18,,7,,,
180591,TOYBOX CANNØN=͟͟͞ Σ≡=｡ﾟ:*.:+｡.☆,Mono.,,2024-02-15,MXM,18,,6,,,
180592,ON THE WORLD,Yuta Imai,,2024-02-15,MXM,18,,2,,,
180593,Deep tenDon Reflex,"BEMANI Sound Team ""Coyaan""",,2024-02-15,MXM,18,,7,,,DDR
180594,花火のおもちゃ箱,Yu-dachi,,2024-02-22,MXM,18,,1,,はなびのおもちゃばこ,
180595,イグジスター,東雲蛍 feat. はぁち,,2024-02-22,MXM,18,,4,,いぐじすたー,이그지스타
180596,La Nostra Storia!,polysha w/ mikanzil,,2024-02-22,MXM,18,,6,,,
180597,毒杯スワロウ,猫又おかゆ,,2024-02-22,MXM,18,,8,,どくはいすわろう,독배스왈로우
180598,グリーディ・スターズ！,みーに feat. しろさきあや,,2024-02-29,MXM,18,,6,,ぐりーでぃ  すたーず,그리디스타즈
180599,Di-Da-De-Doo,Yu_Asahina ft.Mizutama,,2024-02-29,MXM,18,,3,,,디다데두
180600,Break Through Δpex,Halv feat.Kuroa*,,2024-02-29,MXM,18,,5,,,breakthroughapex
180601,LOVE TONIC,影虎。,,2024-03-07,MXM,18,,4,,,
180602,Inevitable Magic,Alkome,,2024-03-07,MXM,18,,8,,,
180603,Ars Magna,Riz,,2024-03-07,MXM,18,,4,,,
180604,waxing and wanding,青龍,,2024-03-07,MXM,18,,9,,,
180605,Crawl Out Immortal,U-ske feat.Parfaitty,,2024-03-14,MXM,18,,8,,,
180606,異次元の孤独 ～カナタノキミヘ～,RoughSkreamZ feat. Sennzai,,2024-03-14,MXM,18,,3,,いじげんのこどく　かなたのきみえ,이차원의고독 / 카나타노키미에
180607,SΛMVICΛ,seatrus -Reborn-,,2024-03-14,MXM,18,,4,,,
180608,MΔX FLAVØR,EmoCosine overlay,,2024-03-14,MXM,18,,2,,,maxflavor
180609,NEMSYS ARENA World Hexathlon,隣の庭は青い(庭師+Aoi),,2024-04-04,EXH,18,,3,,,
180610,{ eXLIPXe },{ かめりあ },,2024-05-02,EXH,18,,1,,,이클립스
180611,Knew Order,あまみ×ひなみ,,2024-05-02,MXM,18,,7,,,
180612,Ex concordia felicitas,Connexio,,2024-05-02,MXM,18,,7,,,
180613,NO SURRENDER,493Water,,2024-05-02,MXM,18,,5,,,
180614,StellarflightS,otoshi.b,,2024-05-02,MXM,18,,8,,,
180615,ウイジン,"CHUBAY as ""NOVICE""",,2024-05-02,MXM,18,,6,,ういじん,우이진 / ***
180616,Max Burning!! (GαineN Beyond yΩu Remix),概念,,2024-05-23,MXM,18,,4,,,
180617,Appliqué (Vocal Remix),nonomori feat. Nanao,,2024-05-23,MXM,18,,7,,,에필로그보컬리믹스 / 에필로그리믹스 / applique
180618,My song,角巻わため,,2024-06-06,MXM,18,,10,,,
180619,King's Gambit,brz1128,,2024-06-13,MXM,18,,8,,,
180620,HEAVEN KNOWS,U-ske feat.石橋桃,,2024-06-13,MXM,18,,3,,,
180621,七七七夕,Mono. + uynet,,2024-06-13,MXM,18,,9,,なななた,칠칠칠석
180622,Scarlet Pinheel -appassionato-,BlackY,,2024-06-27,MXM,18,,5,,,
180623,ミュージックプレイヤー （J-pop Remix）,technoplanet feat. Risa Yuzuki,,2024-06-27,MXM,18,,7,,みゅーじっくぷれいやー,뮤직플레이어 리믹스
180624,トキノコエト,setu-O meets 駄々子,,2024-07-11,MXM,18,,8,,ときのこえと,토키노코에토
180625,Sweetie Beauti Magic,打打だいず feat. 凜々,,2024-07-11,MXM,18,,3,,,
180626,Two of Wonder Lights,technoplanet feat. Tamako Kinoshita,,2024-07-11,MXM,18,,7,,,
180627,アイの雫,kuro,,2024-07-25,MXM,18,,5,,あいのしずく,아이노시즈쿠 / ***
180628,Almandite,7mai,,2024-07-25,MXM,18,,5,,,앨먼다이트 / 알만다이트
180629,ARACHNE,MAX MAXIMIZER,,2024-08-01,MXM,18,TSUMAMI,4,179,,아라크네
180630,Poochie,kors k,,2024-08-01,MXM,18,,6,,,
180631,Crazy Jackpot,Hommarju,,2024-08-01,MXM,18,,9,,,
180632,閉塞的フレーション,"Pizuya's Cell VS BEMANI Sound Team ""dj TAKA""",,2024-08-07,MXM,18,,9,,へいそくてきふれーしょん,폐색적프레이션
180633,弾幕信仰,"豚乙女×BEMANI Sound Team ""PON""",,2024-08-07,MXM,18,,7,,だんまくしんこう,
180634,∞vitUniverse,Lime,9965,2024-08-29,MXM,18,,8,,,8비트유니버스 / 8bituniverse / 8vituniverse
180635,We Are GamerZ!,Ninja Never DieS!,,2024-08-29,MXM,18,,7,,,
180636,OROCHI STRIKE,"Hommarju & BEMANI Sound Team ""兎々""",,2024-09-12,MXM,18,,4,,,
180637,Blφφdy Cφncertφ,OSTER project & RoughSketch,,2024-09-12,MXM,18,,4,,,블러디콘체르토 / bloodyconcerto
180638,Re:RHYZE,beatnation RHYZE,,2024-09-12,MXM,18,,7,,,
180639,"PANIC HOLIC (かめりあ's ""24600 POWER"" Remix)",かめりあ,,2024-09-26,MXM,18,,5,,,
180640,GIGI BABA (brz_style),brz1128,,2024-09-26,MXM,18,,9,,,
180641,Don't you dare play GOD,technoplanet feat. Tamako Kinoshita,,2024-10-10,EXH,18,,2,,,데어갓
180642,憧憬のファンファーレ,CHUBAY,,2024-10-10,MXM,18,,6,,こうけいのふぁんふぁーれ,
180643,こどもかくしのアンダーランド,iru feat. 桃寝ちのい,,2024-10-10,MXM,18,,5,,こどもかくしのあんだーらんど,코도모카쿠시 / 코도모가쿠시
180644,すべてを賭して,ke-ji,,2024-10-10,MXM,18,,1,,すべてをとして,
180645,Imitated Visions,荒谷サトル,,2024-10-10,MXM,18,,4,,,
180646,Come to Life,ARM (IOSYS) feat. Nicole Curry,,2024-10-24,MXM,18,,10,,,
180647,Ahoy!! 我ら宝鐘海賊団☆,宝鐘マリン,,2024-11-07,MXM,18,,8,,われらほうしょうかいぞくだん,***
180648,幽霊船戦,宝鐘マリン,,2024-11-07,MXM,18,,5,,ゆうれいせんせん,
180649,Kool Awesome Croon,Super Shrimp,,2024-11-21,MXM,18,,7,,,
180650,ØverwriteTheCatastrophe,deli.+駄々子,,2024-11-21,MXM,18,,6,,,
180651,Cumulonimbus,Hidra-Xjeil,,2024-11-21,MXM,18,,6,,,
180652,ΛNXIENT:LEGΛXIEZ,Ashrount,,2024-11-21,MXM,18,,3,,,고대전설 / 에인션트레거시즈
180653,B.B.K.K.B.K.K.(USAO Remix),nora2r Remixed by USAO,,2024-12-05,MXM,18,,5,,,베이스킥리믹스
180654,Everything B.K.,nora2r,,2024-12-05,MXM,18,,3,,,
180655,X1GNUS,BlackY,,2024-12-12,MXM,18,,5,,,
180656,For All The Challengers,cosMo＠暴走P,,2024-12-12,MXM,18,,7,,,
180657,Never Forget Evergreen,黒魔,,2024-12-12,MXM,18,,8,,,
180658,ヴァルプルギスの夜,すっかりBPM200以下の曲を作れない体に改造されてしまった哀れなかぼちゃを見るがいい,,2024-12-12,MXM,18,,4,,ヴぁるぷるぎす の よる,발푸르기스의밤
180659,Little Red Riding Hood,RoughSketch,,2024-12-12,MXM,18,,3,,,빨간모자
180660,一水山風,Enterskip,,2024-12-25,MXM,18,,7,,いっすいやまかぜ***,"일수산풍, 진눈깨비"
180661,永久の粒虹,Yu-dachi,,2024-12-25,MXM,18,,2,,とこしえのりゅうこう,***
180662,Lunatic Mare,Alkome,,2024-12-25,MXM,18,,8,,,
180663,メズマライザー,サツキ,,2025-01-09,MXM,18,,8,,めずまらいざー,메스머라이저
180664,テトリス,柊マグネタイト,,2025-01-09,MXM,18,,8,,てとりす,테토리스
180665,C18H27NO3 (ryhki remix),ryhki,,2025-01-23,MXM,18,,99,,,캡사이신리믹스
180666,大宇宙ステージ奈落変,めと（Metomate）,,2025-01-23,MXM,18,,99,,だいうちゅうすてーじならくへん,
180667,Crack Traxxxx (108x3 BPM Remix),RoughSketch,,2025-01-23,MXM,18,,99,,,
180668,MiRÀi,#EmoCosine,,2025-02-06,MXM,18,,99,,,mirai
180669,reSTART yOUR STORIES,setu-O,,2025-02-06,MXM,18,,99,,,
180670,ぼくらのはじまりのおと,Shiron+こふ×モリモリあつしと提供でお送りしました。,,2025-02-06,MXM,18,,99,,-,
180671,Line markeR,打打だいず,,2025-02-06,MXM,18,,99,,,
180672,全人類　兎化計画！,兎田ぺこら,,2025-02-20,MXM,18,,99,,ぜんじんるい　うさぎかけいかく,
180673,最強女神†ウーサペコラ,兎田ぺこら,,2025-02-20,MXM,18,,9,,さいきょうめがみうさぺこら,
180674,caramel ribbon (Tatsunoshin Remix),Tatsunoshin,,2025-02-27,MXM,18,,99,,,
180675,The world of sound -celestial mix-,BlackY feat. Risa Yuzuki,,2025-02-27,MXM,18,,99,,,
180676,Dynasty -dal segno-,Ashrount,,2025-02-27,MXM,18,,99,,,다이너스티달세뇨
180677,chaplet,DJ TOTTO,,2025-03-13,MXM,18,,99,,,
180678,Our garden is blue.,庭師+Aoi,,2025-03-19,EXH,18,,99,,,
180679,Golden Rotation,xi,,2025-03-19,MXM,18,,99,,,
180680,Jupiter,technoplanet feat. Tamako Kinoshita,,2025-03-19,MXM,18,,99,,,
180681,流転に咲く魂の花,めと（Metomate）,,2025-03-19,MXM,18,,99,,るてんにさくたましいのはな,유전에피는영혼의꽃
180682,Caldwell 99,BlackY,,2025-04-10,MXM,18,,99,,,
