id,name,composer,effector,date,lv,lv_number,radar,s_tier,bpm,search_name,nickname
180086,きたさいたま2000,LindaAI-CUE（BNGI）「太鼓の達人」より,,2015-10-08,EXH,18,,2,,-,키타사이타마
180087,Garakuta Doll Play,t+pazolite 「maimai」より,,2015-10-08,HVN,18,,2,,,
180088,マサカリブレイド,REDALiCE,,2015-10-15,EXH,18,,7,,まさかりぶれいど,
180089,ドーパミン,U1 overground,,2015-10-29,EXH,18,,3,,どーぱみん,도파민
180090,HAELE III ~Angel Worlds~,Yu_Asahina ft. Ritsuka,,2015-11-13,GRV,18,PEAK,5,185,,
180091,月光乱舞,P*Light,,2015-11-26,EXH,18,,8,,げっこうらんぶ,월광난무
180092,Seraphim,Yooh,,2015-12-04,EXH,18,,7,,,
180093,Angels And Demons,すのうまん,,2015-12-04,EXH,18,,7,,,
180094,ムラサキグルマ,ここなつ Produced by はるなば,,2015-12-10,EXH,18,,6,,むらさきぐるま,무라사키
180095,冥天・ヘメロカリス,u-z,,2015-12-24,EXH,18,,6,,めいてん　へめろかりす,
180096,XHAOS JUDGE,BlackYooh vs. siromaru,,2015-12-24,EXH,18,,2,,,카오스저지 / 카저지
180097,NEO GRAVITY,lapix,,2016-02-05,EXH,18,,8,,,
180098,End to end,Noah,,2016-02-05,EXH,18,,4,,,엔투엔
180099,EMPIRE OF FLAME,かめりあ,,2016-02-05,EXH,18,,2,,,엠오플
180100,Lachryma《Re:Queen’M》,かねこちはる,,2016-02-05,EXH,18,,4,,,라크리마레퀴엠 / lachrymarequuenm / requiem
180101,雲の彼方,Cororo,,2016-02-05,XCD,18,,4,,くものかなた,구름의저편
180102,Candy Colored Hearts,はるなば,,2016-02-05,XCD,18,,2,,,
180103,NEO GRAVITY,lapix,,2016-02-05,XCD,18,,3,,,
180104,JEHANNEDARC,BlackY,,2016-02-25,EXH,18,,9,,,잔다르크
180105,伐折羅-vajra-,DJ TOTTO VS 兎々,,2016-02-25,EXH,18,,4,,vajra,바즈라
180106,Demise Quartet,Shiron＋こふ×モリモリあつしと提供でお送りします。,,2016-03-03,EXH,18,,7,,,디마이스콰르텟 / 디마이즈콰르텟
180107,KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Emperor Side,FLOOR LEGENDS -KAC 2013-,,2016-03-05,EXH,18,,4,,,캌메들리엠퍼러
180108,MG277,eicaTV vs kanone,,2016-03-18,EXH,18,,2,,,망가277
180109,Fox4 -Raize-,Getty vs. DJ DiA,,2016-03-18,EXH,18,,5,,,"fox4raize, foxforraize"
180110,REVOLVER,sky_delta,,2016-03-18,EXH,18,,6,,,
180111,Renegade Fruits,t+pazolite,,2016-04-01,GRV,18,,9,,,
180112,XROSS THE XOUL,BlackY vs. Yooh,,2016-04-01,GRV,18,,6,,,크로스더소울 / 크소울
180113,The star in eclipse,しーけー,,2016-04-28,XCD,18,,8,,,
180114,侍Annihilate!!,QURELESS,,2016-05-26,EXH,18,,7,,-,
180115,Endless GRAVITY,kanone,,2016-05-26,EXH,18,,3,,,
180116,Ultimate Ascension,かめりあ,,2016-06-30,EXH,18,,8,,,
180117,Ok!! Hug Me,はるなば,,2016-07-28,GRV,18,,7,,,
180118,Celestial stinger,Noah,,2016-08-04,GRV,18,,5,,,
180119,Completeness Under Incompleteness,"かめりあ as ""Reverse of Riot""",,2016-08-04,GRV,18,PEAK,2,194,,컴인컴
180120,B.B.K.K.B.K.K.,nora2r,,2016-08-04,XCD,18,,9,,,베이스킥
180121,NEO TREASON,lapix,,2016-08-10,GRV,18,,6,,,
180122,Angelic Jelly,t+pazolite,,2016-08-10,GRV,18,,8,,,
180123,Triple Counter,"DJ YOSHITAKA meets dj
  TAKA",,2016-08-10,GRV,18,,9,,,
180124,FLügeL 《Λrp:ΣggyØ》,かねこちはる,,2016-08-17,EXH,18,,4,,,플뤼겔아르페지오
180125,↓↓↓,庭師,,2016-09-15,EXH,18,,10,,とりじゅうか,트리주카 / 토리주카 / trijuuka
180126,Prayer,ぺのれり,,2016-09-15,EXH,18,,8,,,
180127,GEOMETRIA,Shiron,,2016-09-15,EXH,18,,4,,,
180128,IKAROS DYNAMITE!!!!,BlackY,,2016-09-15,EXH,18,,7,,,
180129,絶対零度,かねこちはる,,2016-09-15,EXH,18,,8,,ぜったいれいど,절대영도
180130,アルティメットトゥルース -Phantasm-,ふりらい feat. あにょ,,2016-10-06,EXH,18,,4,,あるてぃめっととぅるーす,
180131,東方妖々夢 ULTIMATE MEDLEY,uma vs. モリモリあつし,,2016-10-06,EXH,18,,9,,とうほうようようむ,동방요요몽얼티밋메들리 / 동방메들리
